mlb_id,name,team,single,double,triple,hr,sb,r,rbi,cs,k,bb,avg,wt_avg,woba,std_plus,pa
630105,Jake Cronenworth,SD,92.08705,26.163225,2.87859,14.374195,4.235,67.76,71.39,1.4569486,108.9,57.475,0.2474829,0.0698748,0.3093965,3.1092368,605
660821,Jesus Sanchez,MIA,84.899448,29.693848,1.311888,25.406656,13.288,71.272,79.728,3.3626392,155.228,53.152,0.2565351,0.0723109,0.3342259,5.6393491,604
663457,Lars Nootbaar,STL,84.361888,28.034056,3.00188,21.666688,8.456,73.688,70.064,3.0994908,123.82,81.54,0.2623445,0.0739485,0.3547148,4.5614469,604
670541,Yordan Alvarez,HOU,86.571504,32.431752,1.107108,41.270526,3.015,91.656,101.907,0.9995203,98.289,69.948,0.3027489,0.0851962,0.4144523,7.805524,603
543807,George Springer,TOR,81.64926,27.785912,2.080512,23.013256,15.652,81.872,64.414,3.1789534,118.594,57.19,0.2469282,0.0693725,0.3253307,5.4119061,602
657041,Lane Thomas,CLE,88.95264,31.06608,2.02032,15.067,26.169,71.98,68.93,8.6923975,153.11,48.19,0.2440434,0.0694732,0.3017964,5.6617484,610
641857,Ryan McMahon,COL,83.421204,26.784767,0,16.794945,4.207,70.918,65.509,2.6386309,174.29,63.105,0.2361073,0.0662223,0.3070871,3.1237941,601
666971,Lourdes Gurriel Jr.,ARI,104.375151,31.40557,3.316064,18.343776,3.594,74.875,80.865,1.9789147,107.82,32.945,0.2781365,0.0777508,0.3274213,4.2140008,599
,Joey Ortiz,MIL,89.224045,29.7711985,3.493368,12.006955,11.98,68.286,71.281,3.8637922,117.404,55.707,0.2475562,0.0692024,0.3074045,3.7360339,599
691176,Jasson Dominguez,NYY,86.256,27.573168,1.780228,23.698836,23.96,74.875,72.479,5.54818,143.76,61.098,0.2589844,0.072397,0.3393571,6.5482033,599
691023,Jordan Walker,STL,91.045604,30.21955,2.381624,18.094592,7.188,71.281,73.078,2.4463153,140.166,46.722,0.2566486,0.0717441,0.3180354,4.0238162,599
663728,Cal Raleigh,SEA,63.351252,27.55155,0,32.0154384,2.985,71.64,86.565,0,167.16,61.491,0.2295353,0.0639505,0.3302679,5.0717103,597
,Connor Norby,MIA,91.112904,28.677136,1.941768,14.814176,14.304,72.712,66.752,3.0295051,164.496,46.488,0.2484859,0.0691144,0.3040553,4.254439,596
668904,Royce Lewis,MIN,80.488608,35.256678,1.730784,30.9026,6.4964,75.096,83.44,1.8628425,139.464,52.448,0.2729797,0.0759271,0.3625486,5.7713296,596
681297,Colton Cowser,BAL,77.36904,25.36842,2.56802,26.8597875,10.71,76.16,71.995,2.9740944,176.715,61.88,0.247909,0.0688382,0.3374788,5.2771309,595
678882,Ceddanne Rafaela,BOS,92.3234725,27.61395,3.1416,14.399,24.395,70.805,71.995,6.6313881,146.37,21.42,0.2396841,0.0665544,0.2765823,5.362355,595
592885,Christian Yelich,MIL,94.91797,28.74326,2.31336,16.948575,26.18,80.92,69.02,4.9692397,123.76,67.235,0.2708083,0.0751968,0.3427888,6.3206223,595
669304,Jose Miranda,MIN,98.503614,36.071244,1.724976,15.39945,2.376,68.31,72.468,1.3774191,89.1,32.67,0.2702497,0.0749155,0.316762,3.2235831,594
673237,Yainer Diaz,HOU,107.602222,30.712656,1.633122,22.4453465,0.593,73.532,81.834,0.5529262,100.81,27.278,0.287055,0.0794402,0.3368426,4.3196611,593
668715,Spencer Steer,CIN,73.329165,28.47312,2.0241,19.119555,16.0875,68.445,75.465,4.425802,122.85,59.085,0.2337753,0.0638226,0.3124526,4.8338168,585
669394,Jake Burger,TEX,75.83121,22.311432,0.570906,34.179894,1.182,72.693,82.149,0.6982135,164.298,35.46,0.2392149,0.0659775,0.3194362,5.0381235,591
671218,Heliot Ramos,SF,82.31562,29.25456,3.3807,19.8417,4.72,64.9,71.39,2.2676128,162.25,39.53,0.2448682,0.0674225,0.3078938,3.515487,590
691718,Pete Crow-Armstrong,CHC,84.476736,24.64965,8.415043,15.782844,40.052,68.913,64.201,8.1951993,150.784,37.107,0.2415763,0.0664033,0.2986683,6.9267826,589
668930,Brice Turang,MIL,103.972512,21.303828,4.6294416,4.96272,39.984,68.796,52.92,7.6829052,98.784,49.98,0.2506756,0.0687875,0.2896338,5.5947382,588
521692,Salvador Perez,KC,87.798396,27.73694,0,25.258975,0.0581,63.91,82.502,0.1658861,131.306,33.698,0.2572516,0.0697516,0.3203159,3.9213793,581
672580,Maikel Garcia,KC,101.605464,28.22085,3.92751,8.01975,31.79,71.094,51.442,7.1095538,106.352,41.616,0.2643136,0.0712964,0.304538,5.0837359,578
687462,Spencer Horwitz,PIT,87.10517,28.120365,1.456785,13.150959,0.545,68.125,59.95,1.0426751,99.19,67.035,0.2716376,0.0690886,0.3434719,2.1966823,545
